;Station_id;date_from;date_to;altitude;latitude;longitude;name;state
4469;19390101;1979-12-31;399;50.5071;10.762;Schleusingen;ThÃ¼ringen;Frei
4471;19370101;1984-12-31;780;47.7358;11.8505;Schliersee (A);Bayern;Frei
4474;19140101;1973-12-31;170;49.7961;7.7583;SchlossbÃ¶ckelheim;Rheinland-Pfalz;Frei
4477;19550101;2004-12-31;993;47.8208;8.186;Schluchsee;Baden-WÃ¼rttemberg;Frei
4479;19370101;1984-12-31;375;50.3849;9.5358;SchlÃ¼chtern-Kloster Gomfritz;Hessen;Frei
4480;19520101;2024-12-31;232;50.3447;9.5533;SchlÃ¼chtern-Herolz;Hessen;Frei
4484;19590101;1970-12-31;45;53.6615;10.2543;Schmalenbeck;Schleswig-Holstein;Frei
4485;20060101;2016-12-31;296;50.725;10.4539;Schmalkalden, Kurort;ThÃ¼ringen;Frei
4489;18980101;1962-12-31;198;51.8833;10.7667;Schmatzfeld;Sachsen-Anhalt;Frei
4490;19660101;2002-12-31;223;49.4149;6.836;Schmelz-HÃ¼ttersdorf;Saarland;Frei
4496;19550101;1974-12-31;95;51.6826;12.7348;Schmiedeberg, Bad;Sachsen-Anhalt;Frei
4501;18870101;2024-12-31;938;50.6545;10.7696;SchmÃ¼cke;ThÃ¼ringen;Frei
4505;18810101;1986-12-31;650;50.4988;12.4534;Schnarrtanne-VogelsgrÃ¼n;Sachsen;Frei
4508;18890101;2024-12-31;653;50.2968;6.4194;Schneifelforsthaus;Rheinland-Pfalz;Frei
4517;19000101;2004-12-31;635;48.7859;8.6451;SchÃ¶mberg, Kr. Calw;Baden-WÃ¼rttemberg;Frei
4548;20080101;2024-12-31;608;50.1847;12.0791;SchÃ¶nwald/Ofr.-Brunn;Bayern;Frei
4549;19780101;2009-12-31;021;48.1002;8.1969;SchÃ¶nwald/Schwarzwald;Baden-WÃ¼rttemberg;Frei
4556;19730101;1999-12-31;904;48.1402;8.1991;Schonach;Baden-WÃ¼rttemberg;
4557;18810101;2001-12-31;399;47.6464;7.844;Schopfheim-Eichen;Baden-WÃ¼rttemberg;Frei
4559;19970101;2024-12-31;398;49.1644;12.6175;Schorndorf-KnÃ¶bling;Bayern;Frei
4560;19010101;2021-12-31;265;50.4925;9.1226;Schotten;Hessen;Frei
4571;19700101;1996-12-31;504;51.8369;10.4312;Schulenberg;Niedersachsen;Frei
4576;19780101;1980-12-31;343;49.3261;11.012;Schwabach (A);Bayern;Frei
4581;19500101;2001-12-31;415;48.7768;9.8025;SchwÃ¤bisch GmÃ¼nd-Strassdorf;Baden-WÃ¼rttemberg;Fre
4582;19400101;2000-12-31;358;49.0823;9.6892;SchwÃ¤bisch Hall-Bibersfeld;Baden-WÃ¼rttemberg;Frei
4584;19710101;1978-12-31;444;48.3667;11.8;Schwaigermoos;Bayern;Frei
4586;18790101;1997-12-31;320;50.1394;8.0627;Schwalbach, Bad;Hessen;Frei
4592;19490101;2024-12-31;356;49.3278;12.0871;Schwandorf;Bayern;Frei
4593;19960101;1998-12-31;117;51.9639;11.1208;Schwanebeck;Sachsen-Anhalt;Frei
